height,rnd
150223,249505040841344078809966943116780810061
150224,46170005854579998867332351504546919062
150225,278150289223811060709183304476562060538
150226,193558953985799631013111401508236905294
150227,242685488817900941309597026784021943005
150228,18933761523469450908352283885506569408
150229,29254431282623194654494531820296397042
150230,309974166167333711165592230721742767908
150231,189729603851163688679304495992529242502
150232,264552439586685716101852927724413633262
150233,79562119012074184734463345634652011369
150234,305643242590060657690190010915652446925
150235,168190887187561361898054824342579513009
150236,135308735999130089598388812972303893031
150237,126285567805768694066530266676216732092
150238,215829123728789828966099868771671790067
150239,149772562700122875037222209488811019045
150240,255211339221963821264483134473331461422
150241,321467774199270502298536797981342128714
150242,314575933630795364119209584909538597999
150243,162707919701630491723814265610430783492
150244,95735409104114677827117208882201411882
150245,142433685398502135772845462038813528855
150246,148115299657074665083262771499128383646
150247,273671911265504887750869659167080770163
150248,194965173561260486892452843595248481287
150249,132770994585880366901166377416651390040
150250,176903703376042292267254743252646161647
150251,289042960498657172535868044143247411824
150252,230298884940258673594433841401128053974
150253,75460625022077803045644268881565926185
150254,20142396566634239814791120821829960116
150255,159535510621548246961738800696900356243
150256,1363826859191533728343607389180124278
150257,280009864271304114054914565896513781101
150258,232751424175244807534834750915103183958
150259,175660826491699862159665129691737425796
150260,206914130496542298097708370629123042787
150261,256675187158753595170569528934670261742
150262,54214173987605109453456526556621762638
150263,228836824298334849196868048282514928420
150264,2138079214053398276671797159658530002
150265,113495529317024638296234364869288036437
150266,183180884426734543287130469674503006250
150267,280010009859517586891556758687514353133
150268,79504940894544821837633370415934714482
150269,164732058443632948993361643710949743185
150270,161211997067322223266350568414329143207
150271,218180522784622304100423562866557901709
150272,59951866198825409515539115933722824450
150273,79569254426414201095408854632441745062
150274,235721468984058225462814410727695657020
150275,58637037111239861449621896230172377869
150276,63051564045644412495665237671665892408
150277,312835664809902473492299421852571322911
150278,256493017714374463582326848227014543101
150279,108462372991758398998039116871023243695
150280,142617230478910844445872774978438451073
150281,145191848071251687284476249355371573608
150282,321737793234562635323200709263441762508
150283,98606747781550074191631912169079749213
150284,119763546242924206665714138597949212964
150285,169092006240075115738778773395518641599
150286,255493377055464733556318225474687866713
150287,94039901449195390543743582376089725335
150288,252111628849324046325172850227092874328
150289,52404541414428520139086534980755719965
150290,23997342772655333686140056463391723882
150291,105795920645094628148658447851396692544
150292,52984487819016229378259997071077648160
150293,212195761190442448146422260006280833624
150294,73244275321519161196184225107002768293
150295,295592374711575844256149549376368872167
150296,200504737149733227383784276175287968614
150297,314461898873852481494751857797329184084
150298,117221493180296705306859588394168198503
150299,53895180955723459213114322692551828917
150300,67566377123184349684611102317012165975
150301,2912984159547537190050922636674921798
150302,146720561569357425646181261352082575157
150303,236498165298243456344264664500252999207
150304,324134574258717316257367070187446155208
150305,306116689341107990613873012957850816898
150306,331356988130391658977056131885256582743
150307,124579321524609612792081470689502673696
150308,186428592690092318133630604185817648237
150309,208685240513680081072061729913578753748
150310,216639044614039781726389215954857270080
150311,173977195071181989941893818107127511342
150312,119886739513111261850551003086823039141
150313,335306278326540771842083491250088266261
150314,85446995699633249887334660028346714085
150315,296993645690332157719022381420210687926
150316,248672147339511603528561244356437939782
150317,337400680064029831085525345334617427722
150318,12266285391084106339498092590157659397
150319,314980326733020662752344542351011435833
150320,90144783497109961297285527682063117661
150321,8862910323318945172735205430404752773
150322,38111927986409456215308578178090259388
150323,268797197074411713644264290418483585451
150324,75627259272456668504221822260396231297
150325,237742808497142430194198206573554190053
150326,182334496280769053212266077604928364750
150327,73321857970308520851600105352472156984
150328,217921866574917461627389350668230338131
150329,265843133731137190569862589283050486901
150330,27724613323924530598059880979537745214
150331,322702732914647837838310482766096715205
150332,1057322288288014271217583019451273598
150333,228118116055799803107400138305281254826
150334,167022993803117192146946181121765591783
150335,191566658570943195613193828264230665496
150336,91753009502607096820017022464942655097
150337,124956460345706624457315381737452410485
150338,10316775702282297878492209332093218702
150339,260329688295801354376285208903984727500
150340,120287197346904128801664241944045961443
150341,319055450717580522681449439214706817223
150342,140753530742484168305299879710128861229
150343,47290952710658037585628640876953950952
150344,61465106376058947445337486808803337773
150345,54981811465242313384267842823262189761
150346,318987661248479485252540911000276031285
150347,213106853617309994490100981090886771420
150348,172507328318216320314962492906992878804
150349,10026464981377228070842121679564032851
150350,191132300049242446060128779055709975526
150351,310151132168936983845968452916757306603
150352,210792100229047663160539185977869423412
150353,89961399406436020064934542836274716287
150354,212638700969603078823768389785588636632
150355,132253271911044344558397185800160402498
150356,162099835295874015466956213053415996075
150357,123211511987647421595123138682165795283
150358,323972989965660132773260007121739945583
150359,106399649601412864285752879318997474790
150360,190732541239925157113606745027779017368
150361,221638586005620258626322899025107458326
150362,296918701219881618107426497435609041797
150363,222842895629257169545646208872283323686
150364,155024559244482138656734523770953690459
150365,68196334035692230382734790458347636032
150366,120250095582196982789759067645662430863
150367,123086436574815764959284453821359599687
150368,227445773293377581775879606441066427376
150369,169312617069180172294821048822652462450
150370,142780982713469521363060465508671828039
150371,119912217906668520846902783323199084587
150372,35221614204593530888677706516876362718
150373,253391598308275022517076856447697072298
150374,154076847996301353912323100751447478230
150375,34657925191239586853607820734299401844
150376,287460661045538326588759788168979684215
150377,35462617139447982593492068036714433886
150378,250237523209773501921627240929115862146
150379,267149460445485637624110439963309063710
150380,335234162222462870453920436247580662575
150381,86240220065153393727962700512724719221
150382,148389379767439202710461751486804515716
150383,116030465333230519945615218290658156164
150384,90238809277945243329013751471789456440
150385,91795873990271141895398045186581069659
150386,336104083957859859753019408762764506478
150387,227523369090176497804775631817370177351
150388,254497485644606660917022615067749904957
150389,69169666207388473448909205899917446016
150390,87921333879046159486059920097620893544
150391,246846401891531115417178695980087081319
150392,136879748704704693255764804593611458060
150393,51182692658779957391411206876312646610
150394,322234547262658842570730380940193369438
150395,272666657149331793612799396555010336826
150396,144724248839423876830188045792486152029
150397,215035032356048443608210446593208754837
150398,326638684825010218913502120942722885226
150399,72040738174759255163415193471164583506
150400,102306766054536023933115425061981070714
150401,27535930310720172488514406582640713860
150402,125643301774120176792385406799588941963
150403,38331950782199132530871141239786309698
150404,157591983729099971927017388707853552483
150405,93304647601377730043688941268420903548
150406,294015994824955155552409556204986361152
150407,226661428988281490841093731859173671242
150408,30745564579314303970523719751465590822
150409,10594755571400067034344437846729589103
150410,160956840396905399536719600513282334173
150411,58790481898293199905854347089404878700
150412,113505241386570773907470932904534986378
150413,141988347797965791534613541680168922395
150414,161774023277877922443017583074737831933
150415,131978089996079826592509434906450195890
150416,246833691342000570391953917570482692442
150417,172105420886461070263110354317472476220
150418,7027194992577476134622212994360698609
150419,187872577261714497298519654565840711647
150420,250458626077635724711637323266274363460
150421,283517905399167082273165787675444674672
150422,132560434736984433113672986951758929519
150423,245175539862789921331899957629623156359
150424,38987686119471420873807883388849553588
150425,279013875664411686872842737499013307939
150426,323404387542773540485440505040350759567
150427,162544557473433058075508260084032466246
150428,93064738417328917801390175426203207659
150429,206326542236677084815603979093466393928
150430,158000481099092179872813573301679475497
150431,25654761134448687549570204470125116388
150432,210573970633925350066138480115315878295
150433,75828482752574549322946039744352461681
150434,1224424082940536604794064318734960016
150435,175963609671676648906473963622130574598
150436,128724365938819980843948888192763858281
150437,72187365958095796884046741509132302499
150438,191385029654361601139279431416695319674
150439,333509780582792428848349244337563978312
150440,166684664061930263495372045013774635085
150441,195642011365079611998027491012561127487
150442,89710607071283765205535298985533769306
150443,55554477907793600723026204402058382551
150444,74248339156812121664255276291452158557
150445,302838411947568572943203739175734871384
150446,220815735614368737464791080624098332988
150447,21542489112411955083177370030733002610
150448,214778980899934661510261395253131165654
150449,122229209026949594734871603829476456296
150450,40490710048019436300025266039756308858
150451,289992411970869414226427405888622096022
150452,275996541950645791306486532225484777977
150453,186977922945052326651553476246404359671
150454,104833458480011586935164073342069579012
150455,232624762293563378089557225169980587851
150456,53794635768566768296674756340981285210
150457,324116050458699767089571157970958198361
150458,74459210962049796876295876517870827824
150459,41591749052645440064080494830580167175
150460,105320921496642365761335981366616140760
150461,128804827841783932447535061063678495715
150462,35424933153244179462574507309943698703
150463,185769703141963537029382763565006039171
150464,135771606818945191922486322226494351725
150465,233201990164659656265667286384766469965
150466,9129198712707360015750460453898631525
150467,45135915364080423351624951085070019921
150468,2988370480896429922375336538759662092
150469,38165933092485148514187853679389280768
150470,143220195857143642236066949727554035193
150471,173096774704660017958878089247745919604
150472,122265758597532390873510695733934224739
150473,95632898661967773423885132273823710108
150474,79421918727955269191731697903266830882
150475,93018309151340409524274307781191903579
150476,160119760958990622952282302182638055359
150477,20384464677375447732696820156039325341
150478,19430410449500127504957121519022581240
150479,243398418474716490429905849662591631902
150480,333366315853022341027442404240479324336
150481,114614746253538012942381773277397895840
150482,136202063079978707355630475756803860202
150483,248767681472319123347951832339578008912
150484,246339290638830892511809176786491450813
150485,136747280250389103479195330062747998082
150486,292070295096523708042663384518570317301
150487,27203262056141678026612733875129699945
150488,273669308446490094654250853021316856803
150489,192686571151320053483672738612228419870
150490,194578302032078932774943958856369613412
150491,212354925758539966717693975099716202470
150492,20157459860909902879144334155759399350
150493,39642354316713632040008560237026269966
150494,161472892911525502381123347748695562283
150495,136321292957187910851201490018146932076
150496,281396777232954508131755042710253511263
150497,328742787846537155480205835161173833553
150498,22031811544080247414906702856001727523
150499,283508246340997169733796742984468646268
150500,206863314302553140096791074405294476844
150501,25080202549352548858024401195161590027
150502,91904781561183084600997776531838429996
150503,58873094427261004280446207432647647355
150504,56996533520546712339959659140618042222
150505,200954489778140640955825347316635878065
150506,198440795725049978714437977295836720596
150507,28996971748828104002837894441006192752
150508,82790457982483743920984506856618412526
150509,71417643318150456227143689572435486386
150510,71369835792145161871638154992421664399
150511,329590629770760777328006302083522192238
150512,171144155152137427044160401567072191037
150513,183423547947303863857375919303057279948
150514,44455354130540139929236832082947148641
150515,150291338930800119512282956164290069374
150516,294492654946244016282982321135940394440
150517,17075985974048806023512187650067105642
150518,309095504706245241351305488941727766735
150519,209253396338812034695868054049263716433
150520,199804433662536284671646779783316947089
150521,206670561504506781414243821307051650421
150522,280880463277711383646672638636933139182
150523,275445377644531185107386016152622394202
150524,53940551120978658606408963038654779394
150525,131678399032564201759092293370235727906
150526,62964679264358387458353986699886523866
150527,31312905613911493160557439238053189452
150528,73416371008782788592483930731656372238
150529,38757405662220712447912687519190897637
150530,133258378951436048369064693049928765636
150531,198783288519230085663287417238972548930
150532,155997074759713676373681490090981115856
150533,329183663126145646621730206924442657555
150534,34965683507146814777781808025710437897
150535,297159923053916151844976037955181443983
150536,161510008285453141532234720633743009939
150537,311448121727873638400785035059751504368
150538,164035873697443856925582914875794132588
150539,275436268742248669026378882671420928374
150540,273947459371949931611257447264298783436
150541,190427417992670833101487920190994061159
150542,209370309069628661223830973328108456955
150543,4990020834056507683016695598174021248
150544,269772770601754194197127254662824529288
150545,256987127460400813693216676831703174207
150546,41624123388662223748858660754639156326
150547,167346976234706657818755795731791383119
150548,153244026065190000633779130466282408056
150549,17697194968021052301931066547753463499
150550,130478012901598104069238932469497996575
150551,249533585003840554412704709065264631041
150552,130973073617766924636067136214596579531
150553,111822515356422459867612191026102845563
150554,300861084063715865015178763392999562985
150555,323082102712367134898638035579073524586
150556,244465459688303935195094757844836120333
150557,194742955908746246033740649428271191585
150558,101534026552568672568384372914169135066
150559,135176909983023113028365257693168072209
150560,129374052681429894591984303762703274042
150561,245705014125058440481095045788305502449
150562,84967826094499656503513249322168078247
150563,190582873092841930050672654448822069936
150564,331887738878127656557904642424547771493
150565,130654056885309360486305110605880507790
150566,207245951644699949568780294354625735540
150567,171210103298419348518926555246791097645
150568,288469730139332961770255817686660319917
150569,114608596900972646331104770158818393813
150570,167984934871662558822141747684292355883
150571,130948553038255944934783770586097988950
150572,204110255290786810301671884749446369977
150573,259521188684972303050701929695382781620
150574,307422552889524758152724798542290573686
150575,310251417955001417782719301756157088000
150576,220596867120676748444349819801204564879
150577,203679418764433107991469308014029572689
150578,300266880847802213377213206443582950299
150579,70405752028708245155095601417958026054
150580,80268231560597561930446245386486383588
150581,97831995872786647540053183149609962188
150582,315793757086986725638489433951899906433
150583,73049275737945937384610237621954078533
150584,8601563371784617575559269593348972670
150585,333230636786787849398491721819026618035
150586,281323152259443257874523544950906515463
150587,65368109477989978793455016740122972454
150588,109835437289172338958291963415198879379
150589,294296419081767888606587017751880300304
150590,240916828614624307403465836884938484600
150591,91969821605138095969193720404192101479
150592,298230756211087915339095396846410519692
150593,213431243821517841068652968142746117167
150594,210871409635374654550181147697172594599
150595,331775490337269490743305836070861494873
150596,214656185908045417167781358453532942178
150597,78095872735240145665561056954819716229
150598,254906356115261699659224325933574569440
150599,158792463045192439321277271491505582062
150600,137890873928358916557829500816717056296
150601,52677381432869169461680868080414941342
150602,227338585391677961570043053600760641258
150603,30064627830849679121834900819715034163
150604,296832861146196690707211533451311952320
150605,68779243873711021819550925897021305543
150606,46354119700574091558540085603323394552
150607,308586690466152699110880100483231569584
150608,35466101973746996218979637199258230548
150609,245341018585548065037729295468968151873
150610,7345697929951207942430780796377808983
150611,175149692594257002288366069929021758812
150612,118531780969772611616317001968693258340
150613,285071945457439687222315852483425424406
150614,293186193461236405202028823625420147722
150615,333037810860198005449742844591537485593
150616,214230035277568189893626217744644301216
150617,286892979651395874172369913207332835676
150618,231016228943791138112901419367824270249
150619,262777740224087060795943005867278693044
150620,228828413906422368890478280698469802122
150621,176956925960908903648883558722532625070
150622,81556936339938823874369626484052683908
150623,111001111472173896504273565239264798165
150624,235629437123395470489875912355302769136
150625,257276297741733814028873430083856144389
150626,96713485616656601465558782386090882767
150627,151531722471885520348053863942830879019
150628,78953431020016259472357906118738550696
150629,50146119612746433508668046227924904948
150630,162098708724440298307574173133136650519
150631,109034791378444187195100964282559237192
150632,214785054973851130147738257777431049041
150633,40585748627469626945778796230488668414
150634,51474117703840291260057430112695824662
150635,332152694604868959247915914832693444330
150636,273638771112137878186402853700798312128
150637,221221580426653584366875150731916013968
150638,94057926843777701313841822620600662704
150639,109623402527485051926382139527430299621
150640,105944043935107449995662112272425487014
150641,333119968257296141520860502852303179355
150642,221545940858828046467507217912628348956
150643,93216155454476455657999085041327562132
150644,147175090672603268705511717545510568882
150645,207575017746645211013596851313055936248
150646,224198947198094745862939688974023922109
150647,155332393294353727855823576672956071625
150648,168914769549914018640506566966462277780
150649,268840824166112377078885467765352843620
150650,276270804886882972042188499563498809933
150651,167205519585229616637775321451194759541
150652,136851370090483530685099079698412221842
150653,25322934102057138742579787067927494618
150654,195487177463650546417317104768177853214
150655,306043558247126999367615482052963633422
150656,84460185814196330200037106129327600560
150657,163945531045713195128022301131405119122
150658,301529747472695746811540969051612227930
150659,42468856473502938724583015182015870723
150660,243268317639494297230630316089600869433
150661,142947127789708733326017639216802270379
150662,175876576847641906454264933772263251499
150663,1864352342966412006722431087882581685
150664,184628100375976284908907407236312117645
150665,198909737686688646335240608509812829269
150666,50958269586149245324838379351004089769
150667,305454616843960348418292673603162824076
150668,140860401910663981430193573392940432523
150669,54571807214116280952778815031266561571
150670,209435480757852306037868402031904921053
150671,30869460219456619747097723495264999823
150672,119058269877915118592568359379478553446
150673,297641335794048894347659759963875268714
150674,148321121875458067282595840335716480877
150675,166525804761026861091632232530955180845
150676,303103329151915822412403055191888127647
150677,217274758931873026925187400691654382458
150678,251841361289831985599645166960112037847
150679,56217540585457262178566988024416038237
150680,61159200705431506950074906033533643531
150681,132695869474984758383027858569549693063
150682,149865585739515526761905178831176789666
150683,115545574684443678730095522331568837987
150684,255849532565868015886986170694511775011
150685,154145306391232939782336581856268835675
150686,188602337105325637307792591079342326709
150687,266798564616203698488325564621693106497
150688,79271526015018211681081057940955599546
150689,50074420756251215707802408307985019818
150690,327016008660752562578066021804370322576
150691,298991053395227587004679447542558831305
150692,200516149941612131037347172940433793740
150693,71328635105379726005101877839213819523
150694,225316849245814027292152219848374024242
150695,101518406423567412994487977158790599975
150696,231776544691839314132040114202177217052
150697,52963332275668462774909930236131690576
150698,127039468686778900860171447382603381504
150699,260036497442467374221317254670197357218
150700,121753296261446945617853830673098846886
150701,234194802813152826364080341513884805718
150702,218719694379783217918291862148698294201
150703,104751145062120505238481986375522462979
150704,306286439593809209178874090839160684090
150705,284283148830190621919985812802163691855
150706,265517925701258849429054728827689784997
150707,138042077216989007396163896263334363181
150708,20286503444633857219287035456713065894
150709,94108703809691144443667035518337699226
150710,209174163985686187336171999068080461810
150711,263230606112597807261595957700326796387
150712,261336372346147513212906235303249601351
150713,108625152119032103455117422513312292454
150714,265875987237154564182148414007828504032
150715,223376080897009590224003300266424412203
150716,31754614571333768140707699796281870420
150717,209747333351848671720568006536739973051
150718,75696972275594124127588292079301095414
150719,331466473768206331948669767137360084598
150720,106020956656462806332481371709890962875
150721,340050926368602943975102539655323524697
150722,328978598253017019433113274626196294210
150723,243097073979973501341380273476215798658
150724,20103953938733760900383792109253504866
150725,285412288242613753309807370301868689430
150726,190897164775467288114247165054452283943
150727,169281999661301915062023042032257150653
150728,20931824007857951366509992805694693358
150729,5599469614977334218718230574175021029
150730,222616103866487866181621631644045868365
150731,264045964278573357594306704665225398145
150732,71948027457367140658645235897648669403
150733,76741933247644414883236699219274205288
150734,13399380148061232038400835479220040073
150735,149688192053744753289624609948662423033
150736,330621704613216472604702453198014685267
150737,151038612815864960633575206091226738465
150738,90242615547406692198561232413485726742
150739,51464036607240328274265904010169504578
150740,193682596256696429647541462473502400287
150741,110271137981271065226725707625679559333
150742,300591052499298759320454843536939486213
150743,297587072635182518539487146330697362750
150744,169985834229722961156519852574470974775
150745,37407357385048853250505276519332441224
150746,215038532370073149995386954483752849097
150747,244594968822225599579275278079302367107
150748,266082124713457234015389784574686416134
150749,255350608344003861711607594409749934607
150750,117057588603737019457803372672607295172
150751,167704920358733303795710188957309597005
150752,332824520383237825208830399195220967704
150753,251650805208186510182194699554409920040
150754,206889443513854491805410833862972362136
150755,105471053441832419674106683041912261661
150756,189545452546652386249288106400134563398
150757,250896903541613366073172154856898853522
150758,46649968152894282092227102187628258363
150759,137369754527866313191501390979225966980
150760,41245816811207859373431493174031457479
150761,61583827576276357213351792305149438681
150762,79682239364480109681002911642430410439
150763,52078845601507121929330406865967395183
150764,272659927246725693066744786349023707248
150765,94550071260749926133429031059331635415
150766,180878260465953043042390346698204062552
150767,91131035449453230287188418552435927830
150768,95958304306406857069390817934362150128
150769,149727872151857093942362874843420347078
150770,271909515544238555200167246595346760077
150771,144372601831635249231750493647512246798
150772,233403759137263870360719169201504407080
150773,198628475228071757164633408341878700052
150774,116876862277494261240141369308773676040
150775,329602180239223211548439372539459875419
150776,32065279679111525773113711381574988144
150777,276820550814714120823535066678532662491
150778,4222031858642234923532229627082536516
150779,45619708307662850925822170190315525672
150780,227569511932844170256067735168752780386
150781,232523795019203657101375847094040929296
150782,137095664014291069583712035249375601257
150783,55074070641044122343643624779205262363
150784,116747233777060752800524112180216943887
150785,257431660115825908232251188450492101421
150786,11462145574681381788748149606879658165
150787,84068881498562540384094204308064817828
150788,154599087142963971634013321112829947110
150789,88097106145117953879973005152216610618
150790,5844212263261697706935574197611716729
150791,88570451475292159726287990779174768534
150792,49269010402619166919348825679992930731
150793,136007420936420191911895971219014191708
150794,289288956199128707148050953723851791505
150795,111560426534448688348184379393540319598
150796,282189036725006105194584065670600659526
150797,277822993719831754777561350984997128237
150798,229192701089684172778863295589723342731
150799,86930162616635234794615976596093195891
150800,247234542769262198757243002146413191201
150801,50740540630563699947323109337208414681
150802,296868776062647513389314636568324862731
150803,77503685096428704362099632164463185336
150804,321039080158939104189481225319534683725
150805,175618468433040504583191556767202638590
150806,142778557702716491201366586949933138227
150807,48936865940353890889474274791057429043
150808,273291584310122010151191814253944687943
150809,304407198248510289964054569317949443823
150810,52026842211592068484925631370031804855
150811,170832310322486879854441110273121159225
150812,296499110403031104885798237095893236414
150813,169478681418784072538129290961493070345
150814,25970367826282497585713104381848648962
150815,75870573052101684892994081913978794574
150816,284738957394413720114496068679027016106
150817,109177708649315060115529186065412536754
150818,57036028436111050812702774050841963887
150819,234830615029320035781885632274152232549
150820,164752672302478698069345660735189645320
150821,327028375006864691326822301235982059938
